ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
11,gastroenterology-hepatology,18,University of Toronto,Canada,Toronto,78.6,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
12,gastroenterology-hepatology,48,Sorbonne Universite,France,Paris,77.5,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
13,gastroenterology-hepatology,10,Johns Hopkins University,United States,Baltimore,76.5,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
14,gastroenterology-hepatology,89,University of Birmingham,United Kingdom,Birmingham (U.K.),76,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
15,gastroenterology-hepatology,13,Imperial College London,United Kingdom,London (U.K.),75.9,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
16,gastroenterology-hepatology,41,University of North Carolina Chapel Hill,United States,Chapel Hill,75.5,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
17,gastroenterology-hepatology,439,Virginia Commonwealth University,United States,Richmond,75.2,53.5,N/A,https://www.usnews.com/education/best-global-universities/virginia-commonwealth-university-234030
18,gastroenterology-hepatology,65,Erasmus University Rotterdam,Netherlands,Rotterdam,74.2,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349
19,gastroenterology-hepatology,15,University of Pennsylvania,United States,Philadelphia,74.2,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
20,gastroenterology-hepatology,8,University of Cambridge,United Kingdom,Cambridge (U.K.),73.5,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
21,gastroenterology-hepatology,45,University of Pittsburgh,United States,Pittsburgh,72.5,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
22,gastroenterology-hepatology,136,Baylor College of Medicine,United States,Houston,72,67.1,N/A,https://www.usnews.com/education/best-global-universities/baylor-college-of-medicine-223223
23,gastroenterology-hepatology,472,Humanitas University,Italy,Milan,71.9,52.4,N/A,https://www.usnews.com/education/best-global-universities/humanitas-university-529627
24,gastroenterology-hepatology,122,University of Bologna,Italy,Bologna,71.9,68.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-bologna-502210
25,gastroenterology-hepatology,51,Karolinska Institutet,Sweden,Stockholm,71.3,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
26,gastroenterology-hepatology,16,University of California San Francisco,United States,San Francisco,71,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
27,gastroenterology-hepatology,24,Northwestern University,United States,Evanston,70.1,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
28,gastroenterology-hepatology,5,University of Oxford,United Kingdom,Oxford,70.1,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
29,gastroenterology-hepatology,19,University of Michigan,United States,Ann Arbor,69.1,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
30,gastroenterology-hepatology,156,University of Milan,Italy,Milan,68.7,65.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-milan-506478
31,gastroenterology-hepatology,11,Yale University,United States,New Haven,68.3,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
32,gastroenterology-hepatology,175,University of Calgary,Canada,Calgary,68,64.2,"33,560",https://www.usnews.com/education/best-global-universities/university-of-calgary-499975
33,gastroenterology-hepatology,136,University of Alberta,Canada,Edmonton,67,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
34,gastroenterology-hepatology,89,University of Oslo,Norway,Oslo,67,71.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-oslo-502680
35,gastroenterology-hepatology,6,University of Washington Seattle,United States,Seattle,66.9,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
36,gastroenterology-hepatology,7,Columbia University,United States,New York City,66.8,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
37,gastroenterology-hepatology,25,Duke University,United States,"Durham (North Carolina, U.S.)",66.8,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
38,gastroenterology-hepatology,42,University of Copenhagen,Denmark,Copenhagen,66.5,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
39,gastroenterology-hepatology,133,University of Texas Southwestern Medical Center Dallas,United States,Dallas,66.4,67.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-southwestern-medical-center-dallas-228635
40,gastroenterology-hepatology,28,University of Sydney,Australia,Sydney,66.3,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
41,gastroenterology-hepatology,171,Universite Catholique Louvain,Belgium,Louvain-la-Neuve,66.1,64.7,"24,523",https://www.usnews.com/education/best-global-universities/universite-catholique-louvain-506348
42,gastroenterology-hepatology,115,University of Padua,Italy,Padua,65.3,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
